therapeutic_class,capsule_name,pdl_name
CARDIOVASCULAR: PLATELET INHIBITORS: Oral / Transdermal,Aggrenox,aspirin/dipyridamole ER capsule (generic for Aggrenox®)
ENDOCRINOLOGY: HYPOGLYCEMICS - INJECTABLE: GLP-1 Receptor Agonists and Combinations indicated for the treatment of Diabetes,Bydureon Pen,Bydureon® BCise™
DIABETIC CONTINUOUS GLUCOSE MONITOR SUPPLIES: Continuous Glucose Monitor Transmitters / Receivers / Readers: Weight Management Other (Non-Incretin Mimetics),Dexcom G4,Dexcom G6® Transmitter / Receiver
DIABETIC CONTINUOUS GLUCOSE MONITOR SUPPLIES: Continuous Glucose Monitor Transmitters / Receivers / Readers: Weight Management Other (Non-Incretin Mimetics),Dexcom G4,Dexcom G7® Receiver
DIABETIC CONTINUOUS GLUCOSE MONITOR SUPPLIES: Continuous Glucose Monitor Sensors: Weight Management Other (Non-Incretin Mimetics),Dexcom G4,Dexcom G6® Sensor
DIABETIC CONTINUOUS GLUCOSE MONITOR SUPPLIES: Continuous Glucose Monitor Sensors: Weight Management Other (Non-Incretin Mimetics),Dexcom G4,Dexcom G7® Sensor
DIABETIC CONTINUOUS GLUCOSE MONITOR SUPPLIES: Continuous Glucose Monitor Transmitters / Receivers / Readers: Weight Management Other (Non-Incretin Mimetics),Dexcom G5,Dexcom G6® Transmitter / Receiver
DIABETIC CONTINUOUS GLUCOSE MONITOR SUPPLIES: Continuous Glucose Monitor Transmitters / Receivers / Readers: Weight Management Other (Non-Incretin Mimetics),Dexcom G5,Dexcom G7® Receiver
DIABETIC CONTINUOUS GLUCOSE MONITOR SUPPLIES: Continuous Glucose Monitor Sensors: Weight Management Other (Non-Incretin Mimetics),Dexcom G5,Dexcom G6® Sensor
DIABETIC CONTINUOUS GLUCOSE MONITOR SUPPLIES: Continuous Glucose Monitor Sensors: Weight Management Other (Non-Incretin Mimetics),Dexcom G5,Dexcom G7® Sensor
GENITOURINARY / RENAL: ELECTROLYTE DEPLETERS (KIDNEY DISEASE): Rectal,Eliphos,calcium acetate tablet (generic for Eliphos®)
