therapeutic_class,capsule_name,pdl_name
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Cyltezo Ankylosing Spondylitis,adalimumab-adbm (gen of CYLTEZO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Cyltezo Crohn’s Disease (adult),adalimumab-adbm (gen of CYLTEZO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Cyltezo Crohn’s Disease (pediatric),adalimumab-adbm (gen of CYLTEZO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Cyltezo Hidradenitis Suppurativa,adalimumab-adbm (gen of CYLTEZO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Cyltezo Plaque Psoriasis (adult),adalimumab-adbm (gen of CYLTEZO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Cyltezo Polyarticular Juvenile Idiopathic Arthritis (PJIA),adalimumab-adbm (gen of CYLTEZO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Cyltezo Psoriatic Arthritis (adult),adalimumab-adbm (gen of CYLTEZO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Cyltezo Rheumatoid Arthritis,adalimumab-adbm (gen of CYLTEZO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Cyltezo Ulcerative Colitis (adult),adalimumab-adbm (gen of CYLTEZO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Cyltezo Uveitis (adult),adalimumab-adbm (gen of CYLTEZO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Hulio Ankylosing Spondylitis,adalimumab-fkjp  (gen of HULIO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Hulio Crohn’s Disease (adult),adalimumab-fkjp  (gen of HULIO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Hulio Crohn’s Disease (pediatric),adalimumab-fkjp  (gen of HULIO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Hulio Hidradenitis Suppurativa,adalimumab-fkjp  (gen of HULIO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Hulio Plaque Psoriasis (adult),adalimumab-fkjp  (gen of HULIO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Hulio Polyarticular Juvenile Idiopathic Arthritis (PJIA),adalimumab-fkjp  (gen of HULIO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Hulio Psoriatic Arthritis (adult),adalimumab-fkjp  (gen of HULIO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Hulio Rheumatoid Arthritis,adalimumab-fkjp  (gen of HULIO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Hulio Ulcerative Colitis (adult),adalimumab-fkjp  (gen of HULIO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Hulio Uveitis (adult),adalimumab-fkjp  (gen of HULIO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Idacio Ankylosing Spondylitis,adalimumab-aacf (gen of IDACIO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Idacio Crohn’s Disease (adult),adalimumab-aacf (gen of IDACIO)
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Idacio Crohn’s Disease (pediatric),adalimumab-aacf (gen of IDACIO)
