therapeutic_class,capsule_name,pdl_name,status
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Abrilada Ankylosing Spondylitis,ABRILADA (Bio of HUMIRA),Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Abrilada Crohn's Disease (pediatric),ABRILADA (Bio of HUMIRA),Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Abrilada Crohn’s Disease (adult),ABRILADA (Bio of HUMIRA),Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Abrilada Hidradenitis Suppurativa,ABRILADA (Bio of HUMIRA),Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Abrilada Plaque Psoriasis (adult),ABRILADA (Bio of HUMIRA),Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),ABRILADA (Bio of HUMIRA),Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Abrilada Psoriatic Arthritis (adult),ABRILADA (Bio of HUMIRA),Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Abrilada Rheumatoid Arthritis,ABRILADA (Bio of HUMIRA),Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Abrilada Ulcerative Colitis (adult),ABRILADA (Bio of HUMIRA),Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Abrilada Uveitis (adult),ABRILADA (Bio of HUMIRA),Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra ACTPen, Giant Cell Arteritis",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra ACTPen, Rheumatoid Arthritis",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra prefilled syringe, Giant Cell Arteritis",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra prefilled syringe, Rheumatoid Arthritis",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra vial, Coronavirus Disease 2019",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra vial, Cytokine Release Syndrome",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra vial, Giant Cell Arteritis",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra vial, Rheumatoid Arthritis",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: INTERLEUKIN ANTAGONISTS,"Actemra vial, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA,Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Adalimumab-adaz Ankylosing Spondylitis,adalimumab-adaz  (gen of HYRIMOZ),Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Adalimumab-adaz Crohn’s Disease (adult),adalimumab-adaz  (gen of HYRIMOZ),Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Adalimumab-adaz Crohn’s Disease (pediatric),adalimumab-adaz  (gen of HYRIMOZ),Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Adalimumab-adaz Hidradenitis Suppurativa,adalimumab-adaz  (gen of HYRIMOZ),Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Adalimumab-adaz Plaque Psoriasis (adult),adalimumab-adaz  (gen of HYRIMOZ),Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA),adalimumab-adaz  (gen of HYRIMOZ),Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Adalimumab-adaz Psoriatic Arthritis (adult),adalimumab-adaz  (gen of HYRIMOZ),Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Adalimumab-adaz Rheumatoid Arthritis,adalimumab-adaz  (gen of HYRIMOZ),Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Adalimumab-adaz Ulcerative Colitis (adult),adalimumab-adaz  (gen of HYRIMOZ),Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Adalimumab-adaz Uveitis (adult),adalimumab-adaz  (gen of HYRIMOZ),Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Adalimumab-adbm Ankylosing Spondylitis,adalimumab-adbm (gen of CYLTEZO),Non-Preferred
Immunomodulator Agents: Systemic Inflammatory Disease: TNF INHIBITORS,Adalimumab-adbm Crohn’s Disease (adult),adalimumab-adbm (gen of CYLTEZO),Non-Preferred
