therapeutic_class,capsule_name,pdl_name,status
Central Nervous System (CNS) Agents: Atypical Antipsychotics* LEGACY CATEGORY: ,Abilify Asimtufii,"ABILIFY ASIMTUFII, MAINTENA",Preferred
Central Nervous System (CNS) Agents: Atypical Antipsychotics* LEGACY CATEGORY: ,Abilify Maintena,"ABILIFY ASIMTUFII, MAINTENA",Preferred
Central Nervous System (CNS) Agents: Atypical Antipsychotics* LEGACY CATEGORY: ,Abilify MyCite,ABILIFY MYCITE,Non-Preferred
Dermatologic Agents: Oral Acne Products: ,Absorica LD capsule,ABSORICA LD,Non-Preferred
Cardiovascular Agents: Pulmonary Arterial Hypertension* LEGACY CATEGORY: OTHER,Adempas,ADEMPAS,Non-Preferred
Endocrine Agents: Diabetes – Insulin: RAPID-ACTING,Admelog,ADMELOG,Non-Preferred
Endocrine Agents: Diabetes – Insulin: RAPID-ACTING,Admelog SoloStar,ADMELOG,Non-Preferred
Respiratory Agents: Inhaled Agents: BRONCHODILATOR/GLUCOCORTICOID COMBINATIONS,Advair Diskus,ADVAIR DISKUS,Preferred
Respiratory Agents: Inhaled Agents: BRONCHODILATOR/GLUCOCORTICOID COMBINATIONS,Advair HFA,ADVAIR HFA,Preferred
"Blood Formation, Coagulation, and Thrombosis Agents: Hemophilia A, von Willebrand Disease, and Factor XIII Deficiency* LEGACY CATEGORY: ",Advate,ADVATE,Preferred
"Blood Formation, Coagulation, and Thrombosis Agents: Hemophilia A, von Willebrand Disease, and Factor XIII Deficiency* LEGACY CATEGORY: ",Adynovate,ADYNOVATE,Preferred
"Blood Formation, Coagulation, and Thrombosis Agents: Hemophilia A, von Willebrand Disease, and Factor XIII Deficiency* LEGACY CATEGORY: ",Afstyla,AFSTYLA,Preferred
"Central Nervous System (CNS) Agents: Anti-Migraine Agents, Prophylaxis: ",Aimovig,AIMOVIG,Preferred
Respiratory Agents: Inhaled Agents: BRONCHODILATOR/GLUCOCORTICOID COMBINATIONS,Airduo Digihaler,AIRDUO DIGIHALER,Non-Preferred
Respiratory Agents: Inhaled Agents: BRONCHODILATOR/GLUCOCORTICOID COMBINATIONS,Airsupra HFA,AIRSUPRA,Non-Preferred
"Central Nervous System (CNS) Agents: Anti-Migraine Agents, Prophylaxis: ",Ajovy,AJOVY,Preferred
Respiratory Agents: Inhaled Agents: ADRENERGIC BRONCHODILATORS,Albuterol HFA generic PROAIR,albuterol HFA,Preferred
"Central Nervous System (CNS) Agents: Anti-Migraine Agents, Acute: TRIPTANS/COMBINATIONS",Almotriptan,almotriptan,Non-Preferred
Ophthalmic Agents: Glaucoma Agents: ALPHA-2 AGONISTS,Alphagan P 0.001,ALPHAGAN P 0.1%,Preferred
"Blood Formation, Coagulation, and Thrombosis Agents: Hemophilia B* LEGACY CATEGORY: ",Alprolix,ALPROLIX,Preferred
"Blood Formation, Coagulation, and Thrombosis Agents: Hemophilia A, von Willebrand Disease, and Factor XIII Deficiency* LEGACY CATEGORY: ",Altuviiio,ALTUVIIIO,Preferred
Cardiovascular Agents: Pulmonary Arterial Hypertension* LEGACY CATEGORY: ENDOTHELIN RECEPTOR ANTAGONISTS,Ambrisentan,ambrisentan,Preferred
Respiratory Agents: Inhaled Agents: ANTICHOLINERGIC BRONCHODILATORS/COMBINATIONS,Anoro Ellipta,ANORO ELLIPTA,Preferred
Endocrine Agents: Diabetes – Insulin: RAPID-ACTING,Apidra,APIDRA,Preferred
Endocrine Agents: Diabetes – Insulin: RAPID-ACTING,Apidra SoloStar,APIDRA,Preferred
Central Nervous System (CNS) Agents: Antidepressants* LEGACY CATEGORY: NDRIs,Aplenzin,APLENZIN,Non-Preferred
Central Nervous System (CNS) Agents: Anticonvulsants* LEGACY CATEGORY: ,Aptiom,APTIOM,Non-Preferred
Infectious Disease Agents: Antivirals – HIV* LEGACY CATEGORY: PROTEASE INHIBITORS,Aptivus,APTIVUS,Non-Preferred
"Blood Formation, Coagulation, and Thrombosis Agents: Hematopoietic Agents: ",Aranesp,ARANESP,Non-Preferred
Infectious Disease Agents: Antibiotics – Inhaled: ,Arikayce,ARIKAYCE,Non-Preferred
Central Nervous System (CNS) Agents: Atypical Antipsychotics* LEGACY CATEGORY: ,Aripiprazole ODT,"aripiprazole ODT, soln",Non-Preferred
Central Nervous System (CNS) Agents: Atypical Antipsychotics* LEGACY CATEGORY: ,Aripiprazole oral solution,"aripiprazole ODT, soln",Non-Preferred
Central Nervous System (CNS) Agents: Atypical Antipsychotics* LEGACY CATEGORY: ,Aripiprazole tablet,aripiprazole,Preferred
Central Nervous System (CNS) Agents: Atypical Antipsychotics* LEGACY CATEGORY: ,Aristada,ARISTADA,Preferred
Central Nervous System (CNS) Agents: Atypical Antipsychotics* LEGACY CATEGORY: ,Aristada Initio,ARISTADA INITIO,Preferred
Central Nervous System (CNS) Agents: Atypical Antipsychotics* LEGACY CATEGORY: ,Asenapine,asenapine,Preferred
"Blood Formation, Coagulation, and Thrombosis Agents: Oral Antiplatelet: ",Aspirin / Dipyridamole,aspirin/dipyridamole ER,Preferred
Genitourinary Agents: Electrolyte Depleter Agents: IRON BASED,Auryxia,AURYXIA,Non-Preferred
Central Nervous System (CNS) Agents: Movement Disorders: ,Austedo,"AUSTEDO IR, XR",Preferred
Central Nervous System (CNS) Agents: Movement Disorders: ,Austedo XR,"AUSTEDO IR, XR",Preferred
Central Nervous System (CNS) Agents: Movement Disorders: ,Austedo XR titration pack,"AUSTEDO IR, XR",Preferred
Central Nervous System (CNS) Agents: Antidepressants* LEGACY CATEGORY: OTHER,Auvelity,AUVELITY,Non-Preferred
Respiratory Agents: Epinephrine Auto-Injectors: ,Auvi-Q 0.1 mg,AUVI-Q,Non-Preferred
Respiratory Agents: Epinephrine Auto-Injectors: ,Auvi-Q 0.15 mg,AUVI-Q,Non-Preferred
Respiratory Agents: Epinephrine Auto-Injectors: ,Auvi-Q 0.3 mg,AUVI-Q,Non-Preferred
Central Nervous System (CNS) Agents: Multiple Sclerosis* LEGACY CATEGORY: ,Avonex auto-injector,AVONEX,Preferred
Central Nervous System (CNS) Agents: Multiple Sclerosis* LEGACY CATEGORY: ,Avonex prefilled syringe,AVONEX,Preferred
Central Nervous System (CNS) Agents: Attention Deficit Hyperactivity Disorder Agents: STIMULANTS,Azstarys,AZSTARYS,Non-Preferred
"Central Nervous System (CNS) Agents: Skeletal Muscle Relaxants, Non-Benzodiazepine: ",Baclofen oral solution,baclofen soln,Non-Preferred
"Central Nervous System (CNS) Agents: Skeletal Muscle Relaxants, Non-Benzodiazepine: ",Baclofen oral suspension,"baclofen susp , tab",Preferred
