therapeutic_class,capsule_name,pdl_name
ANTIPSYCHOTICS : ORAL,Abilify,ABILIFY (aripiprazole)
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",Abilify Asimtufii,ABILIFY ASIMTUFII (aripiprazole)
"ANTIPSYCHOTICS : INJECTABLE, ATYPICALS",Abilify Maintena,ABILIFY MAINTENA (aripiprazole)
ANTIPSYCHOTICS : ORAL,Abilify MyCite,ABILIFY MYCITE (aripiprazole)
ANTIPSYCHOTICS : ORAL,Abilify tablet,ABILIFY (aripiprazole)
CYTOKINE & CAM ANTAGONISTS,Abrilada Ankylosing Spondylitis,ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Crohn's Disease (adult),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Crohn's Disease (pediatric),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Hidradenitis Suppurativa,ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Plaque Psoriasis (adult),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Psoriatic Arthritis (adult),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Rheumatoid Arthritis,ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Ulcerative Colitis (adult),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Uveitis (adult),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Giant Cell Arteritis",ACTEMRA ACTPEN (tocilizumab)
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA ACTPEN (tocilizumab)
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Rheumatoid Arthritis",ACTEMRA ACTPEN (tocilizumab)
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA ACTPEN (tocilizumab)
