therapeutic_class,capsule_name,pdl_name
ANTIPSYCHOTICS : ORAL,Abilify MyCite,ABILIFY MYCITE (aripiprazole)
ANTIPSYCHOTICS : ORAL,Abilify tablet,ABILIFY (aripiprazole)
CYTOKINE & CAM ANTAGONISTS,Abrilada Ankylosing Spondylitis,ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Crohn's Disease (pediatric),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Hidradenitis Suppurativa,ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Plaque Psoriasis (adult),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Psoriatic Arthritis (adult),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Rheumatoid Arthritis,ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Ulcerative Colitis (adult),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,Abrilada Uveitis (adult),ABRILADA (adalimumab-afzb)
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Giant Cell Arteritis",ACTEMRA ACTPEN (tocilizumab)
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA ACTPEN (tocilizumab)
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Rheumatoid Arthritis",ACTEMRA ACTPEN (tocilizumab)
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA ACTPEN (tocilizumab)
CYTOKINE & CAM ANTAGONISTS,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA ACTPEN (tocilizumab)
CYTOKINE & CAM ANTAGONISTS,"Actemra prefilled syringe, Giant Cell Arteritis","ACTEMRA (tocilizumab) syringe, vial"
CYTOKINE & CAM ANTAGONISTS,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)","ACTEMRA (tocilizumab) syringe, vial"
CYTOKINE & CAM ANTAGONISTS,"Actemra prefilled syringe, Rheumatoid Arthritis","ACTEMRA (tocilizumab) syringe, vial"
CYTOKINE & CAM ANTAGONISTS,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)","ACTEMRA (tocilizumab) syringe, vial"
