therapeutic_class,capsule_name,pdl_name
RESPIRATORY MEDICATIONS,"Fasenra prefilled syringe, Asthma (adult)",FASENRA PEN
RESPIRATORY MEDICATIONS,"Nucala prefilled syringe, Asthma (adult)",NUCALA AUTO-INJECTOR
RESPIRATORY MEDICATIONS,"Nucala prefilled syringe, Asthma (pediatric)",NUCALA AUTO-INJECTOR
RESPIRATORY MEDICATIONS,"Nucala prefilled syringe, Eosinophilic Granulomatosis with Polyangitis (EGPA)",NUCALA AUTO-INJECTOR
RESPIRATORY MEDICATIONS,"Nucala vial, Asthma (pediatric)",NUCALA AUTO-INJECTOR
RESPIRATORY MEDICATIONS,"Nucala vial, Eosinophilic Granulomatosis with Polyangitis (EGPA)",NUCALA AUTO-INJECTOR
IMMUNOSUPPRESSANT DRUGS,"Xolair prefilled syringe, Asthma (adult)",XOLAIR auto-injector
IMMUNOSUPPRESSANT DRUGS,"Xolair prefilled syringe, Chronic Rhinosinusitis with Nasal Polyposis",XOLAIR auto-injector
IMMUNOSUPPRESSANT DRUGS,"Xolair prefilled syringe, IgE-Mediated Food Allergy",XOLAIR auto-injector
RESPIRATORY MEDICATIONS,"Fasenra prefilled syringe, Asthma (pediatric)",FASENRA PEN
RESPIRATORY MEDICATIONS,"Nucala vial, Asthma (adult)",NUCALA AUTO-INJECTOR
RESPIRATORY MEDICATIONS,"Nucala prefilled syringe, Hypereosinophilic Syndrome (HES)",NUCALA AUTO-INJECTOR
RESPIRATORY MEDICATIONS,"Nucala vial, Hypereosinophilic Syndrome (HES)",NUCALA AUTO-INJECTOR
IMMUNOSUPPRESSANT DRUGS,"Xolair prefilled syringe, Asthma (pediatric)",XOLAIR auto-injector
RESPIRATORY MEDICATIONS,"Nucala prefilled syringe, Chronic Rhinosinusitis with Nasal Polyposis",NUCALA AUTO-INJECTOR
IMMUNOSUPPRESSANT DRUGS,"Xolair prefilled syringe, Chronic Spontaneous Urticaria (CSU)",XOLAIR auto-injector
RESPIRATORY MEDICATIONS,"Nucala vial, Chronic Rhinosinusitis with Nasal Polyposis",NUCALA AUTO-INJECTOR
AUTONOMIC AND CNS MEDICATIONS,Abilify tablet,ABILIFY MYCITE
AUTONOMIC AND CNS MEDICATIONS,Abilify tablet,ABILIFY MAINTENA
AUTONOMIC AND CNS MEDICATIONS,Abilify tablet,ABILIFY ASIMTUFII
CARDIOVASCULAR MEDICATIONS,Adcirca,tadalafil (generic Adcirca)
IMMUNOSUPPRESSANT DRUGS,Afinitor tablet,AFINITOR DISPERZ
IMMUNOSUPPRESSANT DRUGS,Afinitor tablet,everolimus tab (generic Afinitor)
RESPIRATORY MEDICATIONS,Airduo Digihaler,AIRDUO RESPICLICK
RESPIRATORY MEDICATIONS,Airduo Digihaler,fluticasone/salmeterol inhaler (generic AIRDUO)
GASTROINTESTINAL MEDICATIONS,Budesonide / Formoterol authorized generic Symbicort,budesonide SR caps generic
RESPIRATORY MEDICATIONS,Budesonide / Formoterol authorized generic Symbicort,budesonide inhalation susp
ENDOCRINE MEDICATIONS,Bydureon Pen,BYDUREON BCISE
ANTIINFECTIVES,Cleocin 2% cream,CLEOCIN 75MG CAPS
OBSTETRICAL & GYNECOLOGICAL MEDICATIONS,Cleocin 2% cream,CLEOCIN SUPPOSITORY
ANTIINFECTIVES,Clindamycin 2% Cream,clindamycin caps generic
ANTIINFECTIVES,Clindamycin 2% Cream,clindamycin for oral solution generic
ANTIINFECTIVES,Clindamycin 2% Cream,clindamycin in D5W injection generic
ANTIINFECTIVES,Clindamycin 2% Cream,clindamycin in NaCl 0.9% injection generic
ANTIINFECTIVES,Clindamycin 2% Cream,clindamycin injection 150MG/ML (900MG/6ML) generic
DERMATOLOGICAL MEDICATIONS,Clindamycin 2% Cream,clindamycin aer 1% generic
DERMATOLOGICAL MEDICATIONS,Clindamycin 2% Cream,"clindamycin 1% gel, lotion, topical solution generic"
DERMATOLOGICAL MEDICATIONS,Clindamycin 2% Cream,clindamycin pads/swabs generic
DERMATOLOGICAL MEDICATIONS,Clindamycin 2% Cream,clindamycin-benzoyl peroxide gel 1-5% (generic for Benzaclin)
DERMATOLOGICAL MEDICATIONS,Clindamycin 2% Cream,clindamycin-benzoyl peroxide gel 1.2-5% (generic for Duac)
AUTONOMIC AND CNS MEDICATIONS,Concerta ER,methylphenidate sa osm (generic for Concerta)
RESPIRATORY MEDICATIONS,Dulera 50 mcg / 5 mcg,DULERA (except 50-5mcg)
ANTIINFECTIVES,Epivir HBV tablet,EPIVIR SOLN
AUTONOMIC AND CNS MEDICATIONS,Felbatol oral suspension,FELBATOL TABS
DERMATOLOGICAL MEDICATIONS,Fluticasone / Salmeterol generic Advair HFA,"fluticasone cream, ointment generic"
DERMATOLOGICAL MEDICATIONS,Fluticasone / Salmeterol generic Advair HFA,fluticasone lotion generic
EAR-NOSE-THROAT MEDICATIONS,Fluticasone / Salmeterol generic Advair HFA,fluticasone generic
RESPIRATORY MEDICATIONS,Fluticasone / Salmeterol generic Advair HFA,fluticasone diskus generic
RESPIRATORY MEDICATIONS,Fluticasone / Salmeterol generic Advair HFA,fluticasone hfa generic
RESPIRATORY MEDICATIONS,Fluticasone / Salmeterol generic Advair HFA,fluticasone/salmeterol inhaler (generic AIRDUO)
DERMATOLOGICAL MEDICATIONS,Fluticasone / Salmeterol generic Advair Diskus,"fluticasone cream, ointment generic"
DERMATOLOGICAL MEDICATIONS,Fluticasone / Salmeterol generic Advair Diskus,fluticasone lotion generic
EAR-NOSE-THROAT MEDICATIONS,Fluticasone / Salmeterol generic Advair Diskus,fluticasone generic
RESPIRATORY MEDICATIONS,Fluticasone / Salmeterol generic Advair Diskus,fluticasone diskus generic
RESPIRATORY MEDICATIONS,Fluticasone / Salmeterol generic Advair Diskus,fluticasone hfa generic
RESPIRATORY MEDICATIONS,Fluticasone / Salmeterol generic Advair Diskus,fluticasone/salmeterol inhaler (generic AIRDUO)
DIABETIC SUPPLIES,Freestyle Freedom Lite Meter,"FREESTYLE LIBRE, -2, -2 Plus, -3, -3 Plus"
DIABETIC SUPPLIES,Freestyle Insulinx Glucose System,"FREESTYLE LIBRE, -2, -2 Plus, -3, -3 Plus"
DIABETIC SUPPLIES,FreeStyle InsuLinx Test Strips 100 ct,"FREESTYLE LIBRE, -2, -2 Plus, -3, -3 Plus"
DIABETIC SUPPLIES,FreeStyle InsuLinx Test Strips 50 ct,"FREESTYLE LIBRE, -2, -2 Plus, -3, -3 Plus"
DIABETIC SUPPLIES,Freestyle Lite Meter,"FREESTYLE LIBRE, -2, -2 Plus, -3, -3 Plus"
DIABETIC SUPPLIES,FreeStyle Lite Test Strips 100 ct,"FREESTYLE LIBRE, -2, -2 Plus, -3, -3 Plus"
DIABETIC SUPPLIES,FreeStyle Lite Test Strips 50 ct,"FREESTYLE LIBRE, -2, -2 Plus, -3, -3 Plus"
DIABETIC SUPPLIES,Freestyle Precision Neo Meter,"FREESTYLE LIBRE, -2, -2 Plus, -3, -3 Plus"
DIABETIC SUPPLIES,FreeStyle Precision Neo Strips 25 ct,"FREESTYLE LIBRE, -2, -2 Plus, -3, -3 Plus"
DIABETIC SUPPLIES,FreeStyle Precision Neo Strips 50 ct,"FREESTYLE LIBRE, -2, -2 Plus, -3, -3 Plus"
DIABETIC SUPPLIES,FreeStyle Test Strips 100 ct,"FREESTYLE LIBRE, -2, -2 Plus, -3, -3 Plus"
DIABETIC SUPPLIES,FreeStyle Test Strips 50 ct,"FREESTYLE LIBRE, -2, -2 Plus, -3, -3 Plus"
ENDOCRINE MEDICATIONS,Humalog Junior KwikPen,HUMALOG vial
ENDOCRINE MEDICATIONS,Humalog Junior KwikPen,HUMALOG KWIKPEN 200 units/ml
ENDOCRINE MEDICATIONS,Humalog Junior KwikPen,HUMALOG KWIKPEN and cartridges
ENDOCRINE MEDICATIONS,Humalog Junior KwikPen,HUMALOG MIX 50/50
ENDOCRINE MEDICATIONS,Humalog Junior KwikPen,HUMALOG MIX 75/25
ENDOCRINE MEDICATIONS,Insulin Glargine,insulin aspart pens and cartridges generic
ENDOCRINE MEDICATIONS,Insulin Glargine,insulin aspart vial generic
ENDOCRINE MEDICATIONS,Insulin Glargine,insulin aspart  protamine/insulin aspart 70/30 pens generic
ENDOCRINE MEDICATIONS,Insulin Glargine,insulin aspart protamine/insulin aspart 70/30 vial generic
ENDOCRINE MEDICATIONS,Insulin Glargine,insulin lispro pens generic
ENDOCRINE MEDICATIONS,Insulin Glargine,insulin lispro vial generic
ENDOCRINE MEDICATIONS,Insulin Glargine,insulin lispro protamine/insulin lispro 75/25 pens generic
AUTONOMIC AND CNS MEDICATIONS,Invega ER,"INVEGA SUSTENNA, -TRINZA, -HAFYERA"
IMMUNOSUPPRESSANT DRUGS,Lupron Depot-Ped 6-Month,"LUPRON DEPOT 3.75MG, 7.5MG, 11.25MG, 
22.5MG, 30MG"
IMMUNOSUPPRESSANT DRUGS,Lupron Depot-Ped 6-Month,LUPRON DEPOT 45MG
IMMUNOSUPPRESSANT DRUGS,Lupron Depot-Ped 6-Month,"LUPRON DEPOT PEDIATRIC 7.5MG, 15MG"
IMMUNOSUPPRESSANT DRUGS,Lupron Depot-Ped 6-Month,"LUPRON DEPOT PEDIATRIC 11.25MG, 30MG"
ANTIINFECTIVES,Metronidazole 0.75% Gel,metronidazole IR tabs generic
ANTIINFECTIVES,Metronidazole 0.75% Gel,metronidazole caps generic
DERMATOLOGICAL MEDICATIONS,Metronidazole 0.75% Gel,metronidazole cream generic
DERMATOLOGICAL MEDICATIONS,Metronidazole 0.75% Gel,"metronidazole gel, lotion generic"
GASTROINTESTINAL MEDICATIONS,Nexium DR capsule,esomeprazole magnesium cap (generic Nexium)
GASTROINTESTINAL MEDICATIONS,Nexium DR capsule,NEXIUM GRANULES/SUSPENSION
ANTIINFECTIVES,One Touch Ultra 2 System,ceftriaxone generic
ANTIINFECTIVES,One Touch Ultra 2 System,clotrimazole/betamethasone lotion generic
ANTIINFECTIVES,One Touch Ultra 2 System,nystatin/triamcinolone cream generic
ANTIINFECTIVES,One Touch Ultra 2 System,nystatin/triamcinolone ointment generic
ANTIINFECTIVES,One Touch Ultra 2 System,atovaquone generic
ANTIINFECTIVES,One Touch Ultra 2 System,atovaquone-proguanil generic
ANTIINFECTIVES,One Touch Ultra 2 System,dapsone tabs generic
ANTIINFECTIVES,One Touch Ultra 2 System,MALARONE
CARDIOVASCULAR MEDICATIONS,One Touch Ultra 2 System,chlorthalidone generic
CARDIOVASCULAR MEDICATIONS,One Touch Ultra 2 System,amiodarone/pacerone generic
CARDIOVASCULAR MEDICATIONS,One Touch Ultra 2 System,propafenone er generic
CARDIOVASCULAR MEDICATIONS,One Touch Ultra 2 System,eplerenone generic
CARDIOVASCULAR MEDICATIONS,One Touch Ultra 2 System,milrinone generic
CARDIOVASCULAR MEDICATIONS,One Touch Ultra 2 System,spironolactone tabs generic
AUTONOMIC AND CNS MEDICATIONS,One Touch Ultra 2 System,benzhydrocodone/acetaminophen
AUTONOMIC AND CNS MEDICATIONS,One Touch Ultra 2 System,"hydrocodone-APAP 7.5mg/325mg/15mL soln. 
generic"
AUTONOMIC AND CNS MEDICATIONS,One Touch Ultra 2 System,"hydrocodone-APAP 10mg/325mg/15mL soln. 
generic"
AUTONOMIC AND CNS MEDICATIONS,One Touch Ultra 2 System,"hydrocodone-APAP 5-300mg, 10-300mg, 7.5-300mg tab generic"
