therapeutic_class,capsule_name,pdl_name,status
ANTIPSYCHOTICS - ATYPICAL,Abilify,ABILIFY TABLET (ORAL),Non-Preferred
ANTIPSYCHOTICS - ATYPICAL,Abilify MyCite,ABILIFY MYCITE (ORAL),Non-Preferred
ANTIPSYCHOTICS - ATYPICAL,Abilify Asimtufii,ABILIFY ASIMTUFII (INTRAMUSC),Preferred
ANTIPSYCHOTICS - ATYPICAL,Abilify Maintena,ABILIFY MAINTENA (INTRAMUSC.),Preferred
CYTOKINE AND CAM ANTAGONISTS,Abrilada,ABRILADA KIT (INJECTION) (CF) 50 MG/ ML,Non-Preferred
PROTON PUMP INHIBITORS,Aciphex,ACIPHEX TABLETS (ORAL),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Actemra prefilled syringe,ACTEMRA SYRINGE (SUBCUTANE.),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Actemra vial,ACTEMRA VIAL (INJECTION),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adaz,ADALIMUMAB-ADAZ KIT (INJECTION) (CF) 100 MG/ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adbm auto-injector,ADALIMUMAB-ADBM KIT (BI) (INJECTION) (CF) 50 MG/ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-adbm prefilled syringe,ADALIMUMAB-ADBM KIT (BI) (INJECTION) (CF) 50 MG/ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-fkjp auto-injector,ADALIMUMAB-FKJP PEN KIT (INJECTION) (CF) 50 MG/ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Adalimumab-fkjp prefilled syringe,ADALIMUMAB-FKJP PEN KIT (INJECTION) (CF) 50 MG/ML,Non-Preferred
"IMMUNOMODULATORS, ATOPIC DERMATITIS",Adbry,ADBRY (SUBCUTANEOUS),Preferred
"PAH AGENTS, ORAL AND INHALED",Adcirca,ADCIRCA (ORAL),Non-Preferred
STIMULANTS AND RELATED AGENTS,Adderall XR ER capsule,ADDERALL XR (ORAL),Non-Preferred
"PAH AGENTS, ORAL AND INHALED",Adempas,ADEMPAS (ORAL),Non-Preferred
"HYPOGLYCEMICS, INCRETIN MIMETICS/ENHANCERS",Adlyxin,ADLYXIN (SUBCUTANE.),Non-Preferred
"HYPOGLYCEMICS, INSULIN AND RELATED AGENTS",Admelog,ADMELOG VIAL (SUBCUTANE.),Non-Preferred
"HYPOGLYCEMICS, INSULIN AND RELATED AGENTS",Admelog SoloStar,ADMELOG SOLOSTAR PEN (SUBCUTANE.),Non-Preferred
"GLUCOCORTICOIDS, INHALED",Advair Diskus,ADVAIR DISKUS (INHALATION),Preferred
"GLUCOCORTICOIDS, INHALED",Advair HFA,ADVAIR HFA (INHALATION),Preferred
HEMOPHILIA TREATMENT,Advate,ADVATE (INTRAVEN.),Preferred
HEMOPHILIA TREATMENT,Adynovate,ADYNOVATE (INTRAVEN),Preferred
HEMOPHILIA TREATMENT,Afstyla,AFSTYLA (INTRAVEN),Preferred
"ANTIMIGRAINE AGENTS, OTHER",Aimovig,AIMOVIG,Preferred
"GLUCOCORTICOIDS, INHALED",Airduo Digihaler,AIRDUO DIGIHALER (INHALATION),Non-Preferred
"GLUCOCORTICOIDS, INHALED",Airduo Respiclick,AIRDUO RESPICLICK (INHALATION),Non-Preferred
"GLUCOCORTICOIDS, INHALED",Airsupra HFA,AIRSUPRA HFA (INHALATION),Non-Preferred
"ANTIMIGRAINE AGENTS, OTHER",Ajovy,AJOVY,Preferred
"BRONCHODILATORS, BETA AGONIST",Albuterol HFA generic PROAIR,ALBUTEROL HFA (PROVENTIL) (INHALATION),Preferred
"OPHTHALMICS, GLAUCOMA AGENTS",Alphagan P 0.001,ALPHAGAN P 0.1% (OPHTHALMIC),Preferred
HEMOPHILIA TREATMENT,Alprolix,ALPROLIX (INTRAVEN),Preferred
"GLUCOCORTICOIDS, INHALED",Alvesco,ALVESCO (INHALATION),Preferred
SEDATIVE HYPNOTICS,Ambien,AMBIEN (ORAL),Non-Preferred
SEDATIVE HYPNOTICS,Ambien CR,AMBIEN CR (ORAL),Non-Preferred
"PAH AGENTS, ORAL AND INHALED",Ambrisentan,AMBRISENTAN (ORAL),Preferred
CYTOKINE AND CAM ANTAGONISTS,Amjevita,AMJEVITA PEN KIT (INJECTION) (CF) 100 MG/ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Amjevita High,AMJEVITA KIT (INJECTION) (CF) 100 MG/ML,Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Amjevita Low,AMJEVITA KIT (INJECTION) (CF) 50 MG/ML,Non-Preferred
SKELETAL MUSCLE RELAXANTS,Amrix,AMRIX (ORAL),Non-Preferred
COPD AGENTS,Anoro Ellipta,ANORO ELLIPTA (INHALATION),Preferred
"HYPOGLYCEMICS, INSULIN AND RELATED AGENTS",Apidra,APIDRA VIAL (SUBCUTANE.),Non-Preferred
"HYPOGLYCEMICS, INSULIN AND RELATED AGENTS",Apidra SoloStar,APIDRA SOLOSTAR PEN (SUBCUTANE.),Non-Preferred
"ANTIDEPRESSANTS, OTHER",Aplenzin,APLENZIN (ORAL),Non-Preferred
ANTICONVULSANTS,Aptiom,APTIOM (ORAL),Non-Preferred
CYTOKINE AND CAM ANTAGONISTS,Arcalyst,ARCALYST (SUBCUTANE.),Non-Preferred
ALZHEIMER'S AGENTS,Aricept,ARICEPT (ORAL),Non-Preferred
"ANTIBIOTICS, INHALED",Arikayce,ARIKAYCE (INHALATION),Non-Preferred
ANTIPSYCHOTICS - ATYPICAL,Aripiprazole ODT,ARIPIPRAZOLE ODT (ORAL),Non-Preferred
ANTIPSYCHOTICS - ATYPICAL,Aripiprazole oral solution,ARIPIPRAZOLE SOLUTION (ORAL),Non-Preferred
ANTIPSYCHOTICS - ATYPICAL,Aripiprazole tablet,ARIPIPRAZOLE TABLET (ORAL),Preferred
ANTIPSYCHOTICS - ATYPICAL,Aristada,ARISTADA (INTRAMUSC),Preferred
ANTIPSYCHOTICS - ATYPICAL,Aristada Initio,ARISTADA INITIO (INTRAMUSC),Preferred
"GLUCOCORTICOIDS, INHALED",Armonair Digihaler,ARMONAIR DIGIHALER (INHALATION),Non-Preferred
"GLUCOCORTICOIDS, INHALED",Arnuity Ellipta,ARNUITY ELLIPTA (INHALATION),Preferred
ULCERATIVE COLITIS AGENTS,Asacol HD,ASACOL HD (ORAL),Preferred
ANTIPSYCHOTICS - ATYPICAL,Asenapine,ASENAPINE MALEATE (SUBLINGUAL),Preferred
"GLUCOCORTICOIDS, INHALED",Asmanex HFA,ASMANEX HFA (INHALATION),Preferred
"GLUCOCORTICOIDS, INHALED",Asmanex Twisthaler,ASMANEX (INHALATION),Preferred
HIV / AIDS,Atripla,ATRIPLA (ORAL),Non-Preferred
MULTIPLE SCLEROSIS AGENTS,Aubagio tablet,AUBAGIO (ORAL),Non-Preferred
PHOSPHATE BINDERS,Auryxia,AURYXIA (ORAL),Non-Preferred
MOVEMENT DISORDERS,Austedo,AUSTEDO (ORAL),Preferred
MOVEMENT DISORDERS,Austedo XR,AUSTEDO XR (ORAL),Preferred
MOVEMENT DISORDERS,Austedo XR titration pack,AUSTEDO XR TITRATION KIT (ORAL),Preferred
"ANTIDEPRESSANTS, OTHER",Auvelity,AUVELITY (ORAL),Non-Preferred
"EPINEPHRINE, SELF-INJECTED",Auvi-Q 0.15 mg,AUVI-Q 0.15 MG (INTRAMUSC),Non-Preferred
"EPINEPHRINE, SELF-INJECTED",Auvi-Q 0.1 mg,AUVI-Q 0.1 MG (INTRAMUSC),Non-Preferred
"EPINEPHRINE, SELF-INJECTED",Auvi-Q 0.3 mg,AUVI-Q 0.3 MG (INTRAMUSC),Non-Preferred
STIMULANTS AND RELATED AGENTS,Azstarys,AZSTARYS (ORAL),Non-Preferred
SKELETAL MUSCLE RELAXANTS,Baclofen solution,BACLOFEN SOLUTION (OZOBAX DS) (ORAL),Non-Preferred
SKELETAL MUSCLE RELAXANTS,Baclofen tablet,BACLOFEN (ORAL),Preferred
MULTIPLE SCLEROSIS AGENTS,Bafiertam,BAFIERTAM CAPSULE DR (ORAL),Non-Preferred
ANTICONVULSANTS,Banzel oral suspension,BANZEL SUSPENSION (ORAL),Non-Preferred
ANTICONVULSANTS,Banzel tablet,BANZEL TABLET (ORAL),Non-Preferred
HEPATITIS B AGENTS,Baraclude,BARACLUDE TABLET (ORAL),Non-Preferred
"HYPOGLYCEMICS, INSULIN AND RELATED AGENTS",Basaglar Kwikpen,BASAGLAR KWIKPEN (SUBCUTANE.),Non-Preferred
ANGIOTENSIN MODULATORS,Benazepril,BENAZEPRIL (ORAL),Preferred
HEMOPHILIA TREATMENT,Benefix,BENEFIX KIT (INTRAVEN.),Preferred
BETA-BLOCKERS,Betapace AF,BETAPACE / AF (ORAL),Non-Preferred
